,day,symbiosis,individual,name,pxl,mm2,condition,log body size
767,62,apo,p3,3,28126,6.2,starved,1.824549292051046
768,62,apo,p3,4,16208,3.57,starved,1.2725655957915476
769,62,apo,p3,5,30158,6.64,starved,1.8931119634883424
770,62,apo,p3,6,57112,12.58,starved,2.5321082512722946
771,62,apo,p3,7,21832,4.81,starved,1.5706970841176697
772,62,apo,p3,8,57156,12.59,starved,2.532902848056256
773,62,apo,p3,9,33121,7.3,starved,1.9878743481543455
774,62,apo,p3,10,14146,3.12,starved,1.1378330018213911
775,62,apo,p3,11,40282,8.88,starved,2.1838015570040787
776,62,apo,p3,12,33511,7.38,starved,1.998773638612381
777,62,apo,p3,13,95476,21.04,starved,3.046425387869509
778,62,apo,p3,14,37817,8.33,starved,2.1198634561787513
