,Boots value,Legend
b_2.0.21d.cell.number,-0.131632072504651,b_2.0.21d.cell.number
b_1.0.21d.cell.size,0.0590178163343637,b_1.0.21d.cell.size
b_2.0.21d.cell.size,-0.0484283975466513,b_2.0.21d.cell.size
b_3.0.21d.cell.size,0.0912969429516175,b_3.0.21d.cell.size
b_1.AL,0.226380611225741,b_1.AL
b_2.AL,-0.0214092134795014,b_2.AL
b_3.AL,0.0561903176886143,b_3.AL
b_4.AL,-0.0240945887895404,b_4.AL
b_1.RES,0.15298664724332,b_1.RES
b_2.RES,-0.037106630741452,b_2.RES
b_3.RES,0.0447518720228615,b_3.RES
b_4.RES,-0.019043838859788,b_4.RES
b_1.long.starvation..ii.,-0.0566347460988408,b_1.long.starvation..ii.
b_2.long.starvation..ii.,-0.0257734008264006,b_2.long.starvation..ii.
b_3.long.starvation..ii.,0.0038724555371889,b_3.long.starvation..ii.
b_1.0.21d,0.187753555385712,b_1.0.21d
b_2.0.21d,-0.0185545350296477,b_2.0.21d
b_1.0.21d.cell.number,0.446246929623349,b_1.0.21d.cell.number
b_2.0.21d.cell.number,-0.125597203377221,b_2.0.21d.cell.number
b_1.0.21d.cell.size,-0.0003707596453788,b_1.0.21d.cell.size
b_2.0.21d.cell.size,-0.0497514704287282,b_2.0.21d.cell.size
b_3.0.21d.cell.size,0.0082396799575052,b_3.0.21d.cell.size
b_1.AL,0.233682761633975,b_1.AL
b_2.AL,-0.0239437670613808,b_2.AL
b_3.AL,0.0333745406350477,b_3.AL
b_4.AL,-0.0261706459638568,b_4.AL
b_1.RES,0.281889355285856,b_1.RES
b_2.RES,-0.0317352699036316,b_2.RES
b_3.RES,0.0446713628841189,b_3.RES
b_4.RES,-0.0249862144442049,b_4.RES
b_1.long.starvation..ii.,-0.029623864823866,b_1.long.starvation..ii.
b_2.long.starvation..ii.,-0.0258993035167362,b_2.long.starvation..ii.
b_3.long.starvation..ii.,0.0021806222558666,b_3.long.starvation..ii.
b_1.0.21d,0.244993149937732,b_1.0.21d
b_2.0.21d,-0.0252739812946483,b_2.0.21d
b_1.0.21d.cell.number,0.548244586653533,b_1.0.21d.cell.number
b_2.0.21d.cell.number,-0.125528828340488,b_2.0.21d.cell.number
b_1.0.21d.cell.size,0.0780789538753021,b_1.0.21d.cell.size
b_2.0.21d.cell.size,-0.0403365047709108,b_2.0.21d.cell.size
b_3.0.21d.cell.size,0.048741012861307,b_3.0.21d.cell.size
b_1.AL,0.284329705370597,b_1.AL
b_2.AL,-0.0273117853630373,b_2.AL
b_3.AL,0.0331475264157872,b_3.AL
b_4.AL,-0.0272342881849085,b_4.AL
b_1.RES,0.185556786319225,b_1.RES
b_2.RES,-0.0421787145637777,b_2.RES
b_3.RES,0.0313538198865305,b_3.RES
b_4.RES,-0.0155060642140239,b_4.RES
b_1.long.starvation..ii.,-0.0244528112490474,b_1.long.starvation..ii.
b_2.long.starvation..ii.,-0.0104087499746277,b_2.long.starvation..ii.
b_3.long.starvation..ii.,1.545695623837e-06,b_3.long.starvation..ii.
b_1.0.21d,0.312827841980563,b_1.0.21d
b_2.0.21d,-0.0160229216672986,b_2.0.21d
b_1.0.21d.cell.number,0.300766118877554,b_1.0.21d.cell.number
b_2.0.21d.cell.number,-0.0987246451869332,b_2.0.21d.cell.number
b_1.0.21d.cell.size,0.0216201408434624,b_1.0.21d.cell.size
b_2.0.21d.cell.size,-0.0569788557407004,b_2.0.21d.cell.size
b_3.0.21d.cell.size,0.0505910618086066,b_3.0.21d.cell.size
b_1.AL,0.231782841349207,b_1.AL
b_2.AL,-0.0183320626974872,b_2.AL
b_3.AL,0.0342575178236701,b_3.AL
b_4.AL,-0.0218844762800387,b_4.AL
b_1.RES,0.126573745675586,b_1.RES
b_2.RES,-0.0446213292520896,b_2.RES
b_3.RES,0.0402280363864329,b_3.RES
b_4.RES,-0.01589733125808,b_4.RES
b_1.long.starvation..ii.,-0.0623893455246343,b_1.long.starvation..ii.
b_2.long.starvation..ii.,-0.0260084791705365,b_2.long.starvation..ii.
b_3.long.starvation..ii.,0.0013020850086322,b_3.long.starvation..ii.
b_1.0.21d,0.249612723816583,b_1.0.21d
b_2.0.21d,-0.0247644152034744,b_2.0.21d
b_1.0.21d.cell.number,0.641467236731223,b_1.0.21d.cell.number
b_2.0.21d.cell.number,-0.0975100309483601,b_2.0.21d.cell.number
b_1.0.21d.cell.size,0.0960420645934829,b_1.0.21d.cell.size
b_2.0.21d.cell.size,-0.0489429582118922,b_2.0.21d.cell.size
b_3.0.21d.cell.size,0.0019193045589134,b_3.0.21d.cell.size
b_1.AL,0.226376182920361,b_1.AL
b_2.AL,-0.0226907239709165,b_2.AL
b_3.AL,0.0603732678391563,b_3.AL
b_4.AL,-0.0231221722193193,b_4.AL
b_1.RES,0.168259309167473,b_1.RES
b_2.RES,-0.0277299365154482,b_2.RES
b_3.RES,0.0935515579026788,b_3.RES
b_4.RES,-0.019990226171,b_4.RES
b_1.long.starvation..ii.,-0.0312982690638179,b_1.long.starvation..ii.
b_2.long.starvation..ii.,-0.0370377708459569,b_2.long.starvation..ii.
b_3.long.starvation..ii.,-0.0001726077587309,b_3.long.starvation..ii.
b_1.0.21d,0.249320217161503,b_1.0.21d
b_2.0.21d,-0.0223507331710277,b_2.0.21d
b_1.0.21d.cell.number,0.355321970482316,b_1.0.21d.cell.number
b_2.0.21d.cell.number,-0.115941175235147,b_2.0.21d.cell.number
b_1.0.21d.cell.size,0.0434199232354366,b_1.0.21d.cell.size
b_2.0.21d.cell.size,-0.0311784382174752,b_2.0.21d.cell.size
b_3.0.21d.cell.size,0.0180665913990633,b_3.0.21d.cell.size
b_1.AL,0.220888676652441,b_1.AL
b_2.AL,-0.0189859140484809,b_2.AL
b_3.AL,0.0507345113851879,b_3.AL
b_4.AL,-0.0207030625470982,b_4.AL
b_1.RES,0.151704413792019,b_1.RES
b_2.RES,-0.0359066898677216,b_2.RES
b_3.RES,0.04483422400894,b_3.RES
b_4.RES,-0.0271277134249098,b_4.RES
b_1.long.starvation..ii.,-0.0289044804303129,b_1.long.starvation..ii.
b_2.long.starvation..ii.,-0.026012875799134,b_2.long.starvation..ii.
b_3.long.starvation..ii.,0.0032580638300058,b_3.long.starvation..ii.
b_1.0.21d,0.214470544566144,b_1.0.21d
b_2.0.21d,-0.0307895575316368,b_2.0.21d
b_1.0.21d.cell.number,0.45861842367243,b_1.0.21d.cell.number
b_2.0.21d.cell.number,-0.0864810671903179,b_2.0.21d.cell.number
b_1.0.21d.cell.size,0.113884918584949,b_1.0.21d.cell.size
b_2.0.21d.cell.size,-0.0350171267063385,b_2.0.21d.cell.size
b_3.0.21d.cell.size,0.0378529797127616,b_3.0.21d.cell.size
b_1.AL,0.277801714528013,b_1.AL
b_2.AL,-0.0221081357970885,b_2.AL
b_3.AL,0.0483819001005312,b_3.AL
b_4.AL,-0.0213055311509957,b_4.AL
b_1.RES,0.175366815299452,b_1.RES
b_2.RES,-0.0426821453471804,b_2.RES
b_3.RES,0.0423563029214186,b_3.RES
b_4.RES,-0.0229975562952286,b_4.RES
b_1.long.starvation..ii.,-0.0302904815932429,b_1.long.starvation..ii.
b_2.long.starvation..ii.,-0.0079341623963746,b_2.long.starvation..ii.
b_3.long.starvation..ii.,0.0031588534896025,b_3.long.starvation..ii.
b_1.0.21d,0.248258173126527,b_1.0.21d
b_2.0.21d,-0.0206745377206056,b_2.0.21d
b_1.0.21d.cell.number,0.383501053055452,b_1.0.21d.cell.number
b_2.0.21d.cell.number,-0.106812441758793,b_2.0.21d.cell.number
b_1.0.21d.cell.size,0.0945515264781694,b_1.0.21d.cell.size
b_2.0.21d.cell.size,-0.0514666022643697,b_2.0.21d.cell.size
b_3.0.21d.cell.size,0.0402022665844528,b_3.0.21d.cell.size
b_1.AL,0.192569703709051,b_1.AL
b_2.AL,-0.0237559297712584,b_2.AL
b_3.AL,0.0506852863392299,b_3.AL
b_4.AL,-0.0252127747740232,b_4.AL
b_1.RES,0.111582353593392,b_1.RES
b_2.RES,-0.0318733594239419,b_2.RES
b_3.RES,0.0763195775096777,b_3.RES
b_4.RES,-0.0236993790333241,b_4.RES
b_1.long.starvation..ii.,-0.0216425398960618,b_1.long.starvation..ii.
b_2.long.starvation..ii.,-0.0262930108532442,b_2.long.starvation..ii.
b_3.long.starvation..ii.,0.0029707838108016,b_3.long.starvation..ii.
b_1.0.21d,0.201245222946545,b_1.0.21d
b_2.0.21d,-0.0167365483087663,b_2.0.21d
b_1.0.21d.cell.number,0.357414227634449,b_1.0.21d.cell.number
b_2.0.21d.cell.number,-0.101142451678925,b_2.0.21d.cell.number
b_1.0.21d.cell.size,0.134632475928705,b_1.0.21d.cell.size
b_2.0.21d.cell.size,-0.0434324851607206,b_2.0.21d.cell.size
b_3.0.21d.cell.size,0.0477532107673822,b_3.0.21d.cell.size
b_1.AL,0.339813827674238,b_1.AL
b_2.AL,-0.0204983915407853,b_2.AL
b_3.AL,0.0542873714161474,b_3.AL
b_4.AL,-0.0229221891426815,b_4.AL
b_1.RES,0.166013663820218,b_1.RES
b_2.RES,-0.0408200067514622,b_2.RES
b_3.RES,0.0337714785115534,b_3.RES
b_4.RES,-0.0172809021859145,b_4.RES
b_1.long.starvation..ii.,-0.0298819250412723,b_1.long.starvation..ii.
b_2.long.starvation..ii.,-0.0232450706161822,b_2.long.starvation..ii.
b_3.long.starvation..ii.,0.0059429501951134,b_3.long.starvation..ii.
b_1.0.21d,0.234304189308988,b_1.0.21d
b_2.0.21d,-0.0232802264744205,b_2.0.21d
b_1.0.21d.cell.number,0.250134565765782,b_1.0.21d.cell.number
b_2.0.21d.cell.number,-0.113693557622774,b_2.0.21d.cell.number
b_1.0.21d.cell.size,0.0557241497999702,b_1.0.21d.cell.size
b_2.0.21d.cell.size,-0.0629991918067295,b_2.0.21d.cell.size
b_3.0.21d.cell.size,0.0574591074153664,b_3.0.21d.cell.size
b_1.AL,0.22271074273025,b_1.AL
b_2.AL,-0.0207715347906795,b_2.AL
b_3.AL,0.0555224430583705,b_3.AL
b_4.AL,-0.0222711671721067,b_4.AL
b_1.RES,0.245577704275833,b_1.RES
b_2.RES,-0.0375984572203537,b_2.RES
b_3.RES,0.0652961692463108,b_3.RES
b_4.RES,-0.0264486057103031,b_4.RES
b_1.long.starvation..ii.,-0.105796962912231,b_1.long.starvation..ii.
b_2.long.starvation..ii.,-0.0262290325398898,b_2.long.starvation..ii.
b_3.long.starvation..ii.,0.004802565517852,b_3.long.starvation..ii.
b_1.0.21d,0.25699637906485,b_1.0.21d
b_2.0.21d,-0.0347490170202554,b_2.0.21d
b_1.0.21d.cell.number,0.283919361941066,b_1.0.21d.cell.number
b_2.0.21d.cell.number,-0.093540399712868,b_2.0.21d.cell.number
b_1.0.21d.cell.size,0.0158176293578727,b_1.0.21d.cell.size
b_2.0.21d.cell.size,-0.0375034154615686,b_2.0.21d.cell.size
b_3.0.21d.cell.size,-0.0021688057827017,b_3.0.21d.cell.size
b_1.AL,0.275457607584721,b_1.AL
b_2.AL,-0.0184946717760442,b_2.AL
b_3.AL,0.0677897566429871,b_3.AL
b_4.AL,-0.0237550640791322,b_4.AL
b_1.RES,0.153233718570635,b_1.RES
