day	symbiosis	individual	name	pxl	mm2	condition
21	sym	p4	12	262291	57,79	starved
21	sym	p4	13	155225	34,20	starved
21	sym	p4	14	74992	16,52	starved
21	sym	p4	15	128218	28,25	starved
21	sym	p4	16	209917	46,25	starved
21	sym	p4	17	252090	55,54	starved
21	sym	p5	1	195800	43,14	starved
21	sym	p5	2	171832	37,86	starved
21	sym	p5	3	132810	29,26	starved
21	sym	p5	4	180467	39,76	starved
21	sym	p5	5	200868	44,26	starved
21	sym	p5	6	45017	9,92	starved
21	sym	p5	7	414604	91,35	starved
21	sym	p5	8	141908	31,27	starved
21	sym	p5	9	177924	39,20	starved
21	sym	p5	10	150546	33,17	starved
21	sym	p5	11	365062	80,44	starved
21	sym	p5	12	450176	99,19	starved
21	sym	p5	13	122984	27,10	starved
21	sym	p5	14	224430	49,45	starved
21	sym	p6	1	267751	59,00	starved
21	sym	p6	2	238379	52,52	starved
21	sym	p6	3	157464	34,70	starved
21	sym	p6	4	88624	19,53	starved
21	sym	p6	5	162743	35,86	starved
21	sym	p6	6	112200	24,72	starved
21	sym	p6	7	169715	37,39	starved
21	sym	p6	8	186929	41,19	starved
21	sym	p6	9	92722	20,43	starved
21	sym	p6	10	126634	27,90	starved
21	sym	p6	11	144185	31,77	starved
21	sym	p6	12	229788	50,63	starved
21	sym	p6	13	135656	29,89	starved
21	sym	p6	14	155010	34,15	starved
21	sym	p6	15	102013	22,48	starved
28	apo	p1	1	24594	5,42	starved
28	apo	p1	2	46862	10,33	starved
28	apo	p1	3	79832	17,59	starved
28	apo	p1	4	43392	9,56	starved
28	apo	p1	5	65977	14,54	starved
28	apo	p1	6	46623	10,27	starved
28	apo	p1	7	43054	9,49	starved
28	apo	p1	8	89815	19,79	starved
28	apo	p1	9	49782	10,97	starved
28	apo	p1	10	39757	8,76	starved
28	apo	p1	11	48225	10,63	starved
28	apo	p1	12	37367	8,23	starved
28	apo	p1	13	30214	6,66	starved
28	apo	p1	14	27957	6,16	starved
28	apo	p2	1	146665	32,32	starved
28	apo	p2	2	33497	7,38	starved
28	apo	p2	3	67608	14,90	starved
28	apo	p2	4	108660	23,94	starved
28	apo	p2	5	22387	4,93	starved
28	apo	p2	6	41216	9,08	starved
28	apo	p2	7	77028	16,97	starved
28	apo	p2	8	71122	15,67	starved
28	apo	p2	9	53853	11,87	starved
28	apo	p2	10	81630	17,99	starved
28	apo	p2	11	84061	18,52	starved
28	apo	p2	12	39721	8,75	starved
28	apo	p2	13	107079	23,59	starved
28	apo	p2	14	80945	17,84	starved
28	apo	p2	15	114639	25,26	starved
28	apo	p3	1	68782	15,16	starved
28	apo	p3	2	41869	9,23	starved
28	apo	p3	3	129684	28,57	starved
28	apo	p3	4	49680	10,95	starved
28	apo	p3	5	130861	28,83	starved
28	apo	p3	6	99067	21,83	starved
28	apo	p3	7	144153	31,76	starved
28	apo	p3	8	42496	9,36	starved
28	apo	p3	9	74128	16,33	starved
28	apo	p3	10	81014	17,85	starved
28	apo	p3	11	41652	9,18	starved
28	apo	p3	12	120289	26,50	starved
28	apo	p3	13	141034	31,07	starved
28	apo	p3	14	128976	28,42	starved
28	apo	p3	15	49573	10,92	starved
28	apo	p3	16	121157	26,70	starved
28	sym	p4	1	328367	72,35	starved
28	sym	p4	2	190941	42,07	starved
28	sym	p4	3	138394	30,49	starved
28	sym	p4	4	222854	49,10	starved
28	sym	p4	5	98754	21,76	starved
28	sym	p4	6	282808	62,31	starved
28	sym	p4	7	105839	23,32	starved
28	sym	p4	8	86420	19,04	starved
28	sym	p4	9	137628	30,32	starved
28	sym	p4	10	84367	18,59	starved
28	sym	p4	11	79809	17,58	starved
28	sym	p4	12	194805	42,92	starved
28	sym	p4	13	143088	31,53	starved
28	sym	p4	14	251803	55,48	starved
28	sym	p4	15	124145	27,35	starved
28	sym	p4	16	152349	33,57	starved
28	sym	p5	1	309618	68,22	starved
28	sym	p5	2	227341	50,09	starved
28	sym	p5	3	101117	22,28	starved
28	sym	p5	4	122736	27,04	starved
28	sym	p5	5	135303	29,81	starved
28	sym	p5	6	122287	26,94	starved
28	sym	p5	7	122705	27,04	starved
28	sym	p5	8	173036	38,13	starved
28	sym	p5	9	174836	38,52	starved
28	sym	p5	10	283897	62,55	starved
28	sym	p5	11	164358	36,21	starved
28	sym	p5	12	128596	28,33	starved
28	sym	p5	13	238485	52,55	starved
28	sym	p6	14	134074	29,54	starved
28	sym	p6	15	137841	30,37	starved
28	sym	p6	16	320915	70,71	starved
28	sym	p6	17	232851	51,31	starved
28	sym	p6	18	88477	19,49	starved
28	sym	p6	19	210896	46,47	starved
28	sym	p6	20	71033	15,65	starved
28	sym	p6	21	61745	13,60	starved
28	sym	p6	22	241334	53,17	starved
28	sym	p6	23	149685	32,98	starved
28	sym	p6	24	321645	70,87	starved
28	sym	p6	25	100815	22,21	starved
28	sym	p6	26	134859	29,71	starved
28	sym	p6	27	111879	24,65	starved
35	apo	p1	2	34083	7,51	starved
35	apo	p1	3	44768	9,86	starved
35	apo	p1	4	33321	7,34	starved
35	apo	p1	5	78094	17,21	starved
35	apo	p1	6	57945	12,77	starved
35	apo	p1	7	64560	14,22	starved
35	apo	p1	8	32065	7,07	starved
35	apo	p1	9	81743	18,01	starved
35	apo	p1	10	20717	4,56	starved
35	apo	p1	11	37061	8,17	starved
35	apo	p1	12	23285	5,13	starved
35	apo	p1	13	87465	19,27	starved
35	apo	p1	14	43402	9,56	starved
35	apo	p2	1	55879	12,31	starved
35	apo	p2	2	42083	9,27	starved
35	apo	p2	3	35654	7,86	starved
