,experiment,day,individual,mm2,condition,feedingreg,reltime,log body size
3646,Cyclicfeeding_starving,4,P9_5,1.8,RES,FED,4,0.5877866649021191
3647,Cyclicfeeding_starving,4,P9_6,3.2,RES,FED,4,1.1631508098056809
3654,Cyclicfeeding_starving,6,P10_1,6.58,RES,FED,6,1.884034745337226
3655,Cyclicfeeding_starving,6,P10_2,4.75,RES,FED,6,1.55814461804655
3656,Cyclicfeeding_starving,6,P10_3,6.46,RES,FED,6,1.8656293177945105
3657,Cyclicfeeding_starving,6,P10_4,4.52,RES,FED,6,1.5085119938441398
3658,Cyclicfeeding_starving,6,P10_5,6.39,RES,FED,6,1.8547342683894434
3659,Cyclicfeeding_starving,6,P10_6,3.96,RES,FED,6,1.3762440252663892
3660,Cyclicfeeding_starving,6,P11_1,5.1,RES,FED,6,1.62924053973028
3661,Cyclicfeeding_starving,6,P11_2,4.14,RES,FED,6,1.4206957878372228
3662,Cyclicfeeding_starving,6,P11_3,4.14,RES,FED,6,1.4206957878372228
3663,Cyclicfeeding_starving,6,P11_4,4.59,RES,FED,6,1.5238800240724537
3664,Cyclicfeeding_starving,6,P11_5,8.57,RES,FED,6,2.1482677326096886
3665,Cyclicfeeding_starving,6,P11_6,7.87,RES,FED,6,2.063058062429312
3666,Cyclicfeeding_starving,6,P12_1,2.51,RES,FED,6,0.9202827531436925
3667,Cyclicfeeding_starving,6,P12_2,3.69,RES,FED,6,1.3056264580524357
3668,Cyclicfeeding_starving,6,P12_3,4.41,RES,FED,6,1.4838746894587547
3669,Cyclicfeeding_starving,6,P12_4,2.57,RES,FED,6,0.9439058989071284
3670,Cyclicfeeding_starving,6,P12_5,4.73,RES,FED,6,1.5539252025038417
3671,Cyclicfeeding_starving,6,P12_6,2.42,RES,FED,6,0.883767540168595
3672,Cyclicfeeding_starving,6,P13_1,4.11,RES,FED,6,1.4134230285081433
3673,Cyclicfeeding_starving,6,P13_2,4.75,RES,FED,6,1.55814461804655
3674,Cyclicfeeding_starving,6,P13_3,3.78,RES,FED,6,1.3297240096314962
3675,Cyclicfeeding_starving,6,P13_4,5.88,RES,FED,6,1.7715567619105355
3676,Cyclicfeeding_starving,6,P13_5,3.42,RES,FED,6,1.2296405510745139
3677,Cyclicfeeding_starving,6,P13_6,4.04,RES,FED,6,1.3962446919730587
3678,Cyclicfeeding_starving,6,P14_1,3.51,RES,FED,6,1.2556160374777743
3679,Cyclicfeeding_starving,6,P14_2,3.19,RES,FED,6,1.1600209167967532
3680,Cyclicfeeding_starving,6,P14_3,4.52,RES,FED,6,1.5085119938441398
3681,Cyclicfeeding_starving,6,P14_4,4.09,RES,FED,6,1.4085449700547104
3682,Cyclicfeeding_starving,6,P14_5,4.17,RES,FED,6,1.4279160358107101
3683,Cyclicfeeding_starving,6,P14_6,4.18,RES,FED,6,1.430311246536665
3684,Cyclicfeeding_starving,6,P15_1,4.25,RES,FED,6,1.4469189829363254
3685,Cyclicfeeding_starving,6,P15_2,3.5,RES,FED,6,1.252762968495368
3686,Cyclicfeeding_starving,6,P15_3,6.07,RES,FED,6,1.803358605071407
3687,Cyclicfeeding_starving,6,P15_4,2.42,RES,FED,6,0.883767540168595
3688,Cyclicfeeding_starving,6,P15_5,4.62,RES,FED,6,1.5303947050936475
3689,Cyclicfeeding_starving,6,P15_6,4.85,RES,FED,6,1.5789787049493917
3690,Cyclicfeeding_starving,6,P16_1,3.69,RES,FED,6,1.3056264580524357
3691,Cyclicfeeding_starving,6,P16_2,5.21,RES,FED,6,1.6505798557652755
3692,Cyclicfeeding_starving,6,P16_3,4.73,RES,FED,6,1.5539252025038417
3693,Cyclicfeeding_starving,6,P16_4,4.35,RES,FED,6,1.4701758451005926
3694,Cyclicfeeding_starving,6,P16_5,5.2,RES,FED,6,1.6486586255873816
3695,Cyclicfeeding_starving,6,P16_6,3.13,RES,FED,6,1.1410330045520618
3738,Cyclicfeeding_starving,6,P9_1,4.64,RES,FED,6,1.534714366238164
3739,Cyclicfeeding_starving,6,P9_2,5.37,RES,FED,6,1.6808279085207734
3740,Cyclicfeeding_starving,6,P9_3,5.7,RES,FED,6,1.7404661748405046
3741,Cyclicfeeding_starving,6,P9_4,8.44,RES,FED,6,2.1329823086078656
3742,Cyclicfeeding_starving,6,P9_5,4.04,RES,FED,6,1.3962446919730587
3743,Cyclicfeeding_starving,6,P9_6,5.34,RES,FED,6,1.6752256529721035
3750,Cyclicfeeding_starving,8,P10_1,7.96,RES,FED,8,2.0744289998562917
3751,Cyclicfeeding_starving,8,P10_2,7.68,RES,FED,8,2.038619547159581
3752,Cyclicfeeding_starving,8,P10_3,9.83,RES,FED,8,2.285438934159075
3753,Cyclicfeeding_starving,8,P10_4,6.39,RES,FED,8,1.8547342683894434
3754,Cyclicfeeding_starving,8,P10_5,7.24,RES,FED,8,1.979621206397625
3755,Cyclicfeeding_starving,8,P10_6,5.81,RES,FED,8,1.7595805708638197
3756,Cyclicfeeding_starving,8,P11_1,7.95,RES,FED,8,2.0731719286662407
3757,Cyclicfeeding_starving,8,P11_2,7.53,RES,FED,8,2.018895041811802
3758,Cyclicfeeding_starving,8,P11_3,8.38,RES,FED,8,2.125847914493992
3759,Cyclicfeeding_starving,8,P11_4,7.22,RES,FED,8,1.9768549529047348
3760,Cyclicfeeding_starving,8,P11_5,10.0,RES,FED,8,2.302585092994046
3761,Cyclicfeeding_starving,8,P11_6,10.31,RES,FED,8,2.333114298028869
3762,Cyclicfeeding_starving,8,P12_1,4.05,RES,FED,8,1.3987168811184478
3763,Cyclicfeeding_starving,8,P12_2,5.91,RES,FED,8,1.776645831418007
3764,Cyclicfeeding_starving,8,P12_3,6.86,RES,FED,8,1.925707441737794
3765,Cyclicfeeding_starving,8,P12_4,4.29,RES,FED,8,1.4562867329399256
3766,Cyclicfeeding_starving,8,P12_5,7.08,RES,FED,8,1.9572739077056285
3767,Cyclicfeeding_starving,8,P12_6,5.28,RES,FED,8,1.6639260977181702
3768,Cyclicfeeding_starving,8,P13_1,7.27,RES,FED,8,1.9837562915454279
3769,Cyclicfeeding_starving,8,P13_2,7.33,RES,FED,8,1.9919755158985601
3770,Cyclicfeeding_starving,8,P13_3,5.79,RES,FED,8,1.7561322915849038
3771,Cyclicfeeding_starving,8,P13_4,8.69,RES,FED,8,2.162172939277301
3772,Cyclicfeeding_starving,8,P13_5,4.91,RES,FED,8,1.5912739418064292
3773,Cyclicfeeding_starving,8,P13_6,5.36,RES,FED,8,1.6789639750827108
3774,Cyclicfeeding_starving,8,P14_1,4.25,RES,FED,8,1.4469189829363254
3775,Cyclicfeeding_starving,8,P14_2,4.78,RES,FED,8,1.5644405465033646
3776,Cyclicfeeding_starving,8,P14_3,4.62,RES,FED,8,1.5303947050936475
3777,Cyclicfeeding_starving,8,P14_4,5.68,RES,FED,8,1.7369512327330598
3778,Cyclicfeeding_starving,8,P14_5,5.72,RES,FED,8,1.7439688053917064
3779,Cyclicfeeding_starving,8,P14_6,6.53,RES,FED,8,1.8764069432883397
3780,Cyclicfeeding_starving,8,P15_1,8.1,RES,FED,8,2.0918640616783932
3781,Cyclicfeeding_starving,8,P15_2,5.33,RES,FED,8,1.673351238177753
3782,Cyclicfeeding_starving,8,P15_3,8.77,RES,FED,8,2.1713368063840917
3783,Cyclicfeeding_starving,8,P15_4,3.3,RES,FED,8,1.1939224684724346
3784,Cyclicfeeding_starving,8,P15_5,6.79,RES,FED,8,1.9154509415706047
3785,Cyclicfeeding_starving,8,P15_6,6.21,RES,FED,8,1.8261608959453874
3786,Cyclicfeeding_starving,8,P16_1,6.05,RES,FED,8,1.80005827204275
3787,Cyclicfeeding_starving,8,P16_2,7.59,RES,FED,8,2.0268315914075385
3788,Cyclicfeeding_starving,8,P16_3,6.4,RES,FED,8,1.8562979903656263
3789,Cyclicfeeding_starving,8,P16_4,7.2,RES,FED,8,1.9740810260220096
3790,Cyclicfeeding_starving,8,P16_5,7.89,RES,FED,8,2.065596134857783
3791,Cyclicfeeding_starving,8,P16_6,7.61,RES,FED,8,2.0294631718735947
3834,Cyclicfeeding_starving,8,P9_1,8.54,RES,FED,8,2.1447610078004784
3835,Cyclicfeeding_starving,8,P9_2,8.68,RES,FED,8,2.1610215286722587
3836,Cyclicfeeding_starving,8,P9_3,7.99,RES,FED,8,2.0781907597781832
3837,Cyclicfeeding_starving,8,P9_4,11.74,RES,FED,8,2.4630018143999504
3838,Cyclicfeeding_starving,8,P9_5,7.62,RES,FED,8,2.030776369698555
3839,Cyclicfeeding_starving,8,P9_6,6.77,RES,FED,8,1.9125010869241836
3846,Cyclicfeeding_starving,10,P10_1,13.24,RES,FED,10,2.5832425505088623
3847,Cyclicfeeding_starving,10,P10_2,12.33,RES,FED,10,2.512035317176253
3848,Cyclicfeeding_starving,10,P10_3,15.63,RES,FED,10,2.749192144433385
3849,Cyclicfeeding_starving,10,P10_4,9.33,RES,FED,10,2.2332350148592526
3850,Cyclicfeeding_starving,10,P10_5,9.52,RES,FED,10,2.253394848803274
3851,Cyclicfeeding_starving,10,P10_6,11.44,RES,FED,10,2.437115985951652
3852,Cyclicfeeding_starving,10,P11_1,10.01,RES,FED,10,2.303584593327129
3853,Cyclicfeeding_starving,10,P11_2,15.03,RES,FED,10,2.710048203764883
3854,Cyclicfeeding_starving,10,P11_3,15.7,RES,FED,10,2.7536607123542622
3855,Cyclicfeeding_starving,10,P11_4,10.01,RES,FED,10,2.303584593327129
3856,Cyclicfeeding_starving,10,P11_5,13.12,RES,FED,10,2.574137783515943
3857,Cyclicfeeding_starving,10,P11_6,13.04,RES,FED,10,2.5680215564985067
3858,Cyclicfeeding_starving,10,P12_1,5.31,RES,FED,10,1.6695918352538475
3859,Cyclicfeeding_starving,10,P12_2,10.35,RES,FED,10,2.336986519711378
3860,Cyclicfeeding_starving,10,P12_3,11.25,RES,FED,10,2.4203681286504293
3861,Cyclicfeeding_starving,10,P12_4,7.02,RES,FED,10,1.9487632180377197
