,Boots value,Legend
b_1.symb,0.138022203774103,b_1.symb
b_2.symb,-0.0083114887418944,b_2.symb
b_1.apo,0.194480246960903,b_1.apo
b_2.apo,-0.0258121924291015,b_2.apo
b_1.symb,0.209862686956084,b_1.symb
b_2.symb,-0.0076810082147895,b_2.symb
b_1.apo,0.215065413383754,b_1.apo
b_2.apo,-0.0267905518371905,b_2.apo
b_1.symb,0.210376914543748,b_1.symb
b_2.symb,-0.0044690505343165,b_2.symb
b_1.apo,0.221900918718141,b_1.apo
b_2.apo,-0.0256492809973368,b_2.apo
b_1.symb,0.147180110403603,b_1.symb
b_2.symb,-0.0121263940506499,b_2.symb
b_1.apo,0.210056592461779,b_1.apo
b_2.apo,-0.0241789917912389,b_2.apo
b_1.symb,0.148978401012991,b_1.symb
b_2.symb,-0.0124315994922307,b_2.symb
b_1.apo,0.185668973314663,b_1.apo
b_2.apo,-0.0285213652909289,b_2.apo
b_1.symb,0.138720550857193,b_1.symb
b_2.symb,-0.0111145394104239,b_2.symb
b_1.apo,0.195765687985492,b_1.apo
b_2.apo,-0.0243092052285764,b_2.apo
b_1.symb,0.147049750732098,b_1.symb
b_2.symb,-0.0090145218739962,b_2.symb
b_1.apo,0.210494774537722,b_1.apo
b_2.apo,-0.0223872881022416,b_2.apo
b_1.symb,0.22640184358225,b_1.symb
b_2.symb,-0.0069941448551306,b_2.symb
b_1.apo,0.187328502032419,b_1.apo
b_2.apo,-0.0273821499910893,b_2.apo
b_1.symb,0.220269499576407,b_1.symb
b_2.symb,-0.0078166349674204,b_2.symb
b_1.apo,0.184062717629471,b_1.apo
b_2.apo,-0.0243586312810327,b_2.apo
b_1.symb,0.146519882162283,b_1.symb
b_2.symb,-0.0103591154408855,b_2.symb
b_1.apo,0.186431246148908,b_1.apo
b_2.apo,-0.0225749793709129,b_2.apo
b_1.symb,0.137333148620549,b_1.symb
b_2.symb,-0.0098666362628255,b_2.symb
b_1.apo,0.191449709948864,b_1.apo
b_2.apo,-0.0267284932189704,b_2.apo
b_1.symb,0.153538301057585,b_1.symb
b_2.symb,-0.0128378966242611,b_2.symb
b_1.apo,0.20743135520919,b_1.apo
