experiment;day;individual;mm2;condition;feedingreg;reltime
200d_starved;30;68;0,861489423;1;starving;30
200d_starved;30;69;0,892202476;1;starving;30
200d_starved;30;70;0,88141774;1;starving;30
200d_starved;30;71;0,866999016;1;starving;30
200d_starved;30;72;0,540995195;1;starving;30
200d_starved;30;73;0,559399582;1;starving;30
200d_starved;30;74;0,379224151;1;starving;30
200d_starved;30;75;1,145174877;1;starving;30
200d_starved;30;76;0,35835803;1;starving;30
200d_starved;30;77;0,925260037;1;starving;30
200d_starved;30;78;0,615667771;1;starving;30
200d_starved;30;79;0,407123794;1;starving;30
200d_starved;30;80;1,409400916;1;starving;30
200d_starved;30;81;0,844022839;1;starving;30
200d_starved;30;82;0,812254757;1;starving;30
200d_starved;30;83;0,429279394;1;starving;30
200d_starved;30;84;0,286967765;1;starving;30
200d_starved;30;85;0,442174187;1;starving;30
200d_starved;30;86;0,385319871;1;starving;30
200d_starved;30;87;0,728790276;1;starving;30
200d_starved;30;88;0,782831183;1;starving;30
200d_starved;30;89;0,568308712;1;starving;30
200d_starved;30;90;0,692919306;1;starving;30
200d_starved;30;91;0,712613172;1;starving;30
200d_starved;30;92;1,224419244;1;starving;30
200d_starved;30;93;0,877549302;1;starving;30
200d_starved;30;94;0,76102726;1;starving;30
200d_starved;30;95;0,226596687;1;starving;30
200d_starved;30;96;0,884700051;1;starving;30
200d_starved;30;97;0,599959568;1;starving;30
200d_starved;30;98;0,269501182;1;starving;30
200d_starved;30;99;0,490002148;1;starving;30
200d_starved;30;100;0,283919905;1;starving;30
200d_starved;30;101;0,406303217;1;starving;30
200d_starved;30;102;0,478396834;1;starving;30
200d_starved;30;103;0,286264413;1;starving;30
200d_starved;30;104;0,596794482;1;starving;30
200d_starved;30;105;0,65845504;1;starving;30
200d_starved;30;106;1,267558189;1;starving;30
200d_starved;30;107;0,443580892;1;starving;30
200d_starved;30;108;0,482851399;1;starving;30
